                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0886,                 2.7082,                 1.9517,                0.26362,                0.25732,                0.20969,                0.06748,                 2.3565,                 2.4358,                 2.4236,             0.00046922,             0.00046922,             0.00046922
                      1,                 2.1203,                 2.1525,                 1.9218,                0.29133,                0.29255,                0.18755,                0.05826,                 2.5772,                 3.0397,                  2.607,             0.00093932,             0.00093932,             0.00093932
                      2,                 2.1934,                 2.1795,                 1.9726,                0.13076,                0.32916,                0.10496,                0.03386,                 2.8143,                 11.266,                 2.9466,              0.0014031,              0.0014031,              0.0014031
                      3,                 2.1979,                  2.375,                 2.0313,                0.28137,                0.32573,                 0.2259,                0.07233,                 2.5412,                 2.8634,                 2.4706,              0.0014007,              0.0014007,              0.0014007
                      4,                 2.1518,                 2.2588,                 1.9748,                0.34123,                0.30169,                0.24975,                0.08697,                 2.3714,                 2.6689,                 2.4063,              0.0014007,              0.0014007,              0.0014007
                      5,                 2.1072,                  2.012,                 1.9229,                0.43231,                0.34139,                0.29517,                0.10507,                  2.291,                 2.3477,                 2.2833,              0.0013913,              0.0013913,              0.0013913
                      6,                 2.0853,                  2.019,                 1.9307,                0.52087,                0.37007,                0.40942,                0.12991,                 2.2798,                 2.1432,                 2.2657,              0.0013818,              0.0013818,              0.0013818
                      7,                 2.0533,                  1.824,                 1.8693,                0.38776,                0.29865,                0.25791,                 0.0899,                 2.4325,                 2.3441,                 2.3449,              0.0013724,              0.0013724,              0.0013724
                      8,                 2.0383,                 1.8507,                 1.8968,                  0.432,                0.36357,                0.32359,                 0.1133,                 2.2957,                 2.2294,                 2.2339,               0.001363,               0.001363,               0.001363
                      9,                  2.019,                 1.8382,                 1.8795,                0.46707,                0.36246,                  0.358,                0.12134,                 2.2824,                 2.0314,                 2.2228,              0.0013535,              0.0013535,              0.0013535
                     10,                 2.0088,                  1.741,                 1.8618,                0.53845,                0.45146,                0.45135,                0.17123,                 2.1681,                   1.83,                 2.1914,              0.0013441,              0.0013441,              0.0013441
                     11,                 1.9925,                 1.7998,                 1.8689,                0.45408,                0.45686,                0.43367,                0.16237,                 2.0904,                 1.8431,                 2.1292,              0.0013347,              0.0013347,              0.0013347
                     12,                 1.9299,                 1.6383,                 1.7878,                0.54318,                0.50303,                0.50645,                0.18798,                 2.2013,                 1.7007,                 2.1582,              0.0013253,              0.0013253,              0.0013253
